City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,bathsheba,13.2167,-59.5167,26.34,73,20,6.17,BB,1709005853
227,siwa oasis,29.2041,25.5195,11.98,61,0,3.11,EG,1709005853
228,ponnampet,12.15,75.9333,24.98,53,27,3.07,IN,1709005853
229,selibaby,15.159,-12.1829,26.44,9,16,4.04,MR,1709005853
230,khash,28.2211,61.2158,7.65,84,95,1.13,IR,1709005854
231,cuito,-12.3833,16.9333,14.97,95,87,1.72,AO,1709005854
232,nogliki,51.8333,143.1667,-13.14,89,87,2.24,RU,1709005854
233,kuta,-8.7233,115.1723,30.97,79,20,3.6,ID,1709005854
234,hithadhoo,-0.6,73.0833,27.86,77,95,4.55,MV,1709005854
235,bernay,49.1667,0.6667,5.94,84,70,4.02,FR,1709005854
236,inirida,3.8653,-67.9239,23.8,92,61,1.37,CO,1709005854
237,san fernando,15.0286,120.6898,30.85,33,68,8.48,PH,1709005788
238,badger,64.8,-147.5333,-11.86,49,40,1.54,US,1709005855
239,pimentel,-6.8367,-79.9342,24.16,78,0,3.6,PE,1709005855
240,port lincoln,-34.7333,135.8667,26.12,57,25,4.24,AU,1709005855
241,pacific grove,36.6177,-121.9166,15.01,85,100,3.58,US,1709005615
242,cadale,2.7603,46.3222,26.92,73,100,5.16,SO,1709005855
243,carutapera,-1.195,-46.02,24.13,95,100,1.85,BR,1709005855
244,port blair,11.6667,92.75,31.02,66,6,4.12,IN,1709005855
245,humaita,-7.5061,-63.0208,23.06,99,100,0.78,BR,1709005856
246,elverum,60.8819,11.5623,-10.28,99,91,0.32,NO,1709005856
247,teknaf,20.8624,92.3058,29.08,37,0,2.55,BD,1709005856
248,zabol,32.25,67.25,1.92,99,100,1.87,AF,1709005856
249,bihar sharif,25.1833,85.5167,24.57,21,98,0.46,IN,1709005856
250,sisimiut,66.9395,-53.6735,-12.65,80,100,7.31,GL,1709005856
251,aras-asan,8.8908,126.3033,27.45,72,55,7.22,PH,1709005856
252,kayes,14.0,-11.0,26.32,11,22,1.75,ML,1709005857
253,rio grande,-32.035,-52.0986,21.64,91,100,10.96,BR,1709005857
254,raduzhny,62.0961,77.475,-10.06,95,99,4.03,RU,1709005857
255,anloga,5.7947,0.8973,27.69,87,88,3.83,GH,1709005857
256,piti village,13.4626,144.6933,29.49,68,20,6.69,GU,1709005857
257,taro,-8.3862,115.28,27.0,65,34,1.29,ID,1709005857
258,westport,41.1415,-73.3579,6.77,83,0,0.0,US,1709005858
259,campbell river,50.0163,-125.2446,1.74,55,20,4.12,CA,1709005715
260,mamuju,-2.6748,118.8885,29.46,72,94,3.41,ID,1709005858
261,ialibu,-6.2821,143.9935,16.76,88,100,0.85,PG,1709005858
262,berlin,52.5244,13.4105,6.66,87,0,5.14,DE,1709005841
263,new norfolk,-42.7826,147.0587,23.73,28,25,1.54,AU,1709005858
264,labrador city,52.9463,-66.9114,-10.05,87,75,5.66,CA,1709005859
265,tonekabon,36.8163,50.8738,1.97,86,100,2.16,IR,1709005859
266,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,61,0,7.0,RU,1709005859
267,borzya,50.3833,116.5167,-17.86,92,67,3.41,RU,1709005859
268,atherton,53.5237,-2.4935,1.75,92,100,1.51,GB,1709005859
269,juneau,58.3019,-134.4197,-7.0,75,75,5.66,US,1709005859
270,alamosa,37.4695,-105.87,3.99,60,0,7.2,US,1709005859
271,amiens,49.9,2.3,5.14,87,100,6.37,FR,1709005805
272,nouadhibou,20.931,-17.0347,18.99,77,0,6.69,MR,1709005860
273,ribeira brava,32.65,-17.0667,17.62,65,20,5.76,PT,1709005860
274,nishinoomote,30.7333,131.0,12.31,66,75,5.14,JP,1709005860
275,newport,51.5877,-2.9984,3.06,90,73,1.0,GB,1709005538
276,karratha,-20.7377,116.8463,39.25,31,37,5.63,AU,1709005860
277,sanctuary point,-35.1114,150.629,23.32,69,100,3.23,AU,1709005861
278,sault ste. marie,46.5168,-84.3333,2.31,78,20,4.63,CA,1709005861
279,ibshaway,29.358,30.6814,12.8,73,0,1.6,EG,1709005861
280,buka,40.8108,69.1986,2.27,89,100,1.01,UZ,1709005861
281,monett,36.929,-93.9277,20.9,58,0,6.69,US,1709005861
282,kailua-kona,19.6406,-155.9956,24.98,87,100,4.12,US,1709005861
283,san kamphaeng,18.7449,99.1195,33.71,42,20,2.06,TH,1709005861
284,northam,51.0333,-4.2167,0.7,78,86,1.13,GB,1709005862
285,mossendjo,-2.9506,12.7261,21.41,99,87,0.32,CG,1709005862
286,udachny,66.4167,112.4,-15.86,49,51,3.94,RU,1709005862
287,papao,-17.75,-149.55,28.82,76,41,4.05,PF,1709005862
288,al kharijah,25.4514,30.5464,12.88,34,0,2.97,EG,1709005862
289,erdenet,49.0333,104.0833,-15.88,86,99,2.42,MN,1709005862
290,mossel bay,-34.1831,22.146,12.96,71,3,6.66,ZA,1709005826
291,dryden,49.7833,-92.7503,-4.84,86,100,4.63,CA,1709005863
292,san andres,12.5847,-81.7006,27.01,78,20,5.66,CO,1709005863
293,baoding,38.8511,115.4903,5.24,46,12,3.45,CN,1709005863
294,sarila,25.7667,79.6833,24.02,19,46,3.07,IN,1709005863
295,road town,18.4167,-64.6167,24.05,75,7,7.11,VG,1709005863
